LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,GrLivArea,GarageCars,GarageArea,SalePrice
4571,5,5,1916,624,1344,3,513,98000
53227,4,6,1954,1364,1663,2,529,256000
5100,8,7,1925,588,1666,1,228,161000
7015,5,4,1950,709,1203,1,352,110000
8004,8,5,2009,832,1935,2,552,263435
7200,7,9,1936,560,1135,2,576,155000
8281,5,5,1965,864,864,1,360,62383
11988,6,7,1934,715,1660,1,240,188700
8430,5,5,1978,1040,1040,0,0,124000
3072,7,5,2004,1375,1414,2,398,178740
10628,7,5,1970,1277,1277,2,526,167000
9480,5,7,1942,728,1644,1,312,146500
11428,8,5,2006,1626,1634,3,866,250000
9291,6,5,1993,832,1710,2,506,187000
6820,8,5,1985,1488,1502,2,528,212000
11952,7,6,1977,808,1969,2,534,190000
3675,6,5,2005,547,1072,2,525,148000
14977,8,5,2006,1976,1976,3,908,440000
5330,8,5,2000,1494,1652,2,499,251000
8480,5,6,1963,970,970,2,624,132500
13125,6,5,1997,1478,1493,2,508,208900
13693,9,5,2006,2153,2643,3,694,380000
10637,8,5,2007,1705,1718,3,826,297000
5925,4,7,1937,907,1131,2,672,89471
16033,9,5,2004,1833,1850,3,772,326000
11846,9,5,2003,1792,1792,3,874,374000
2500,7,8,1915,910,1826,1,164,155000
4500,6,5,1998,1216,1216,2,402,164000
7758,5,7,1962,999,999,1,264,132500
9600,5,7,1950,1113,1113,1,264,147000
10289,5,7,1965,1073,1073,2,515,156000
12243,5,6,1971,1484,1484,2,487,175000
10800,5,4,1900,954,2414,2,520,160000
1526,4,8,1970,630,630,1,286,86000
2665,5,6,1976,264,1304,1,336,115000
9490,6,7,1941,806,1578,1,240,133000
15578,6,5,2006,728,1456,2,429,172785
7931,5,6,1960,1269,1269,1,308,155000
5784,5,8,1938,190,886,1,273,91300
7879,4,5,1920,720,720,0,0,34900
12692,8,5,1992,3200,3228,2,546,430000
9120,7,6,1925,1026,1820,1,240,184000
7800,5,7,1967,864,899,1,288,130000
7535,5,7,1958,912,912,1,297,120000
1890,6,5,1973,672,1218,1,264,113000
9803,7,5,2005,866,1768,2,603,226700
9170,5,7,1965,1214,1214,2,461,140000
15602,7,8,1959,1501,1801,2,484,289000
2308,6,5,1974,855,1322,2,440,147000
7596,5,5,1952,960,1960,2,400,124500
9554,8,5,1993,777,1911,2,471,215000
7862,6,5,2009,1218,1218,2,676,208300
9600,7,9,1928,689,1378,2,360,161000
9600,5,6,1959,1041,1041,1,270,124500
14559,5,7,1951,1008,1363,1,288,164900
6792,7,5,2005,1368,1368,2,474,202665
9100,5,5,1958,864,864,2,624,129900
9187,6,5,1983,1084,1080,2,484,134000
10594,5,5,1926,768,789,1,200,96500
12220,10,5,2009,2006,2020,3,900,402861
10448,6,6,1972,689,2119,2,583,158000
10208,7,5,1996,1264,2344,3,889,265000
9531,6,5,1998,794,1796,2,546,211000
10918,7,9,1926,1276,2080,1,282,234000
10800,4,7,1900,0,1294,0,0,106250
11988,6,6,1957,1244,1244,1,336,150000
5000,6,7,1947,1004,1664,2,420,159000
40094,10,5,2007,3138,4676,3,884,184750
11787,7,5,1996,1379,2398,3,834,315750
7500,7,5,2005,1257,1266,2,453,176000
13300,5,7,1956,928,928,1,252,132000
14948,9,5,2008,1452,2713,3,858,446261
9098,4,7,1920,528,605,0,0,86000
32668,6,3,1957,2035,2515,2,484,200624
10200,6,5,1988,1461,1509,2,600,175000
6155,6,8,1920,611,1362,2,502,128000
7200,5,7,1955,0,827,1,392,107500
5000,1,3,1946,0,334,0,0,39300
9056,8,5,2004,707,1414,2,403,178000
7000,5,7,1910,1117,1347,0,0,107500
8924,7,5,1998,880,1724,2,527,188000
12735,4,5,1972,864,864,2,576,111250
11553,5,5,1968,1051,1159,1,336,158000
11423,8,5,2001,1581,1601,2,670,272000
14601,9,5,2006,1838,1838,3,765,315000
11000,8,5,2000,969,2285,3,648,248000
10140,7,5,1998,1650,1680,2,583,213250
4058,7,5,1998,723,767,1,367,133000
17104,7,5,2006,654,1496,2,426,179665
13837,7,5,1988,1204,2183,3,786,229000
8737,6,7,1923,1065,1635,2,440,210000
7244,5,7,1970,768,768,2,624,129500
8235,5,7,1955,825,825,2,720,125000
9375,7,5,2003,912,2094,2,615,263000
4043,6,6,1977,1069,1069,2,440,140000
6000,5,6,1957,928,928,1,288,112500
11146,8,5,2006,1709,1717,3,908,255500
8777,4,5,1949,0,1126,2,520,108000
10625,7,5,2003,998,2046,3,871,284000
6380,5,6,1922,993,1048,1,280,113000
14850,5,5,1957,1092,1092,1,299,141000
11040,4,6,1920,637,1336,1,570,108000
21872,7,5,1996,729,1446,2,406,175000
3196,7,5,2003,1374,1557,2,420,234000
11341,5,6,1957,1392,1392,2,528,121500
10010,5,5,1974,1389,1389,2,418,170000
13907,5,6,1940,996,996,0,0,108000
21780,6,7,1918,1163,1674,2,396,185000
13346,7,5,1992,1095,2295,2,590,268000
6858,6,4,1915,806,1647,1,216,128000
11198,9,5,2005,1122,2504,3,656,325000
10171,7,5,2004,1517,1535,2,532,214000
12327,8,8,1983,1496,2132,2,612,316600
7032,5,5,1979,943,943,2,600,135960
13101,5,5,1965,1728,1728,2,576,142600
7332,6,6,1959,864,864,1,288,120000
13159,7,5,2009,846,1692,2,650,224500
9967,7,5,2000,384,1430,2,400,170000
10500,5,7,1971,372,1109,1,288,139000
8480,5,5,1947,832,1216,1,336,118500
6292,7,7,1928,861,1477,1,216,145000
11777,5,6,1966,1164,1320,2,564,164500
3604,7,5,2007,689,1392,2,540,146000
12150,5,5,1954,1050,1795,1,352,131500
14585,6,6,1960,1144,1429,2,572,181900
12704,8,5,2008,2042,2042,3,1390,253293
11841,6,5,1990,816,816,0,0,118500
13500,10,9,1893,1237,2775,2,880,325000
6120,4,7,1935,884,1573,1,240,133000
11443,8,5,2005,1868,2028,3,880,369900
10267,6,7,1918,816,838,1,275,130000
8740,5,6,1982,840,860,2,528,137000
25095,5,8,1968,1437,1473,1,452,143000
9100,5,6,1930,742,935,1,308,79500
8320,7,5,2004,770,1582,2,520,185900
13478,10,5,2008,1722,2296,3,842,451950
6600,5,8,1982,816,816,2,816,138000
4435,6,5,2003,848,848,2,420,140000
7990,5,6,1975,924,924,1,280,110000
11302,8,5,2005,1814,1826,3,758,319000
3600,6,7,1910,684,1368,1,216,114504
3922,7,5,2006,1258,1402,3,648,194201
12984,5,6,1977,1430,1647,2,621,217500
1950,6,6,1980,716,1556,2,452,151000
10927,8,5,2005,1058,1904,2,736,275000
9000,6,6,1937,780,1375,1,544,141000
10041,8,5,1992,908,1915,2,506,220000
3182,7,5,2004,600,1200,2,480,151000
12803,7,5,2002,1494,1494,2,530,221000
13600,7,6,1965,768,1986,2,486,205000
12464,5,5,1996,1040,1040,2,576,152000
7800,5,8,1948,896,2008,1,230,225000
12168,8,6,1934,965,3194,2,380,359100
7943,4,5,1961,1029,1029,1,261,118500
11050,9,5,2000,1440,2153,3,736,313000
10395,6,6,1978,1032,1032,2,564,148000
11885,8,5,2001,1299,1872,2,531,261500
8402,5,5,2007,1120,1120,0,0,147000
1491,4,6,1972,630,630,0,0,75500
8800,6,7,1963,936,1054,2,480,137500
7861,6,5,2002,783,1509,2,393,183200
7227,6,6,1954,832,832,2,528,105500
11694,9,5,2007,1822,1828,3,774,314813
12244,8,5,2003,1482,2262,3,749,305000
8248,3,3,1914,864,864,0,0,67000
10800,6,7,1974,1522,2614,2,624,240000
7064,5,6,1977,980,980,2,484,135000
2117,6,5,2000,756,1512,2,440,168500
10400,6,5,1972,732,1790,2,484,165150
10000,6,6,1962,1116,1116,2,440,160000
12342,5,5,1960,978,1422,1,286,139900
9600,6,6,1955,1156,1520,1,364,153000
11606,5,5,1969,1040,2080,2,504,135000
9020,6,5,1964,1248,1350,2,520,168500
9000,5,6,1880,636,1750,1,240,124000
4590,8,5,2006,1554,1554,2,627,209500
11900,7,5,1977,1386,1411,2,544,82500
9250,5,7,1954,1056,1056,1,260,139400
6979,6,5,1980,1056,1056,2,576,144000
10896,6,7,1914,1440,3395,0,0,200000
6120,2,3,1936,264,800,0,0,60000
6000,5,4,1954,811,1387,1,256,93000
8777,5,7,1910,796,796,0,0,85000
3982,8,5,2006,1520,1567,3,648,264561
12677,8,5,2003,1518,1518,2,588,274000
7050,7,5,2001,1057,1929,2,650,226000
13860,8,7,1972,1952,2704,2,538,345000
10793,5,5,1969,780,1620,2,462,152000
9187,9,5,2009,1766,1766,3,478,370878
10530,6,5,1971,981,981,2,576,143250
7200,5,5,1950,0,1048,2,420,98300
10452,6,5,1953,1094,1094,2,495,155000
7700,6,5,1966,756,1839,2,442,155000
1936,4,6,1970,630,630,0,0,84500
8125,7,6,2007,813,1665,2,562,205950
9084,4,5,1940,755,1510,1,296,108000
8750,7,5,1996,880,1716,2,512,191000
10320,6,7,1906,756,1469,1,216,135000
10437,8,6,1995,2109,2113,3,839,350000
1680,6,5,1971,525,1092,1,264,88000
10007,5,7,1959,1053,1053,1,312,145500
7200,7,6,1931,776,1502,1,270,149000
17503,6,5,1948,912,1458,1,330,97500
9937,5,7,1964,1486,1486,2,480,167000
12384,7,7,1976,793,1935,2,550,197900
46589,8,7,1994,1629,2448,3,711,402000
13560,6,3,1968,1392,1392,2,576,110000
10012,4,5,1972,1138,1181,2,588,137500
20896,8,5,2005,2077,2097,3,1134,423000
11194,8,5,2000,1406,1936,2,504,230500
18450,6,5,1965,1021,2380,2,596,129000
8125,6,5,1994,1408,1679,2,575,193500
14175,5,6,1956,1188,1437,2,576,168000
11600,4,5,1922,700,1180,1,252,137500
8633,6,5,2005,738,1476,2,540,173500
6629,6,6,1925,672,1369,1,300,103600
11250,6,6,1977,1208,1208,2,546,165000
14442,6,7,1957,1477,1839,2,416,257500
9200,6,6,1965,1136,1136,1,384,140000
2289,6,6,1978,855,1441,2,440,148500
9600,4,2,1900,1095,1774,3,779,87000
9022,5,8,1924,768,792,1,240,109500
11844,8,5,2008,2046,2046,3,834,372500
9945,5,5,1961,988,988,2,572,128500
8012,6,5,1980,923,923,1,264,143000
4500,5,5,1932,793,1520,1,281,159434
2887,6,5,1996,1291,1291,2,431,173000
11248,9,5,2002,1626,1668,3,702,285000
16770,7,5,1998,1195,1839,2,486,221000
5062,7,5,1984,1190,2090,2,577,207500
10207,7,6,2007,874,1761,2,578,227875
5105,7,5,2004,551,1102,2,480,148800
8089,8,6,2007,1419,1419,2,567,392000
7577,6,5,2005,1362,1362,2,460,194700
4426,6,5,2004,848,848,2,420,141000
21535,10,6,1994,2444,4316,3,832,755000
26178,7,5,1989,1210,2519,2,628,335000
5400,5,6,1921,1073,1073,1,326,108480
6120,5,6,1936,927,1539,2,576,141500
13811,6,6,1987,1112,1137,2,551,176000
6000,5,7,1921,616,616,1,205,89000
6420,5,7,1952,980,1148,1,308,123500
8450,5,8,1965,894,894,1,336,138500
4282,7,5,2004,1391,1391,2,530,196000
14331,8,5,2002,1800,1800,3,765,312500
9600,7,5,1969,1164,1164,2,528,140000
12438,8,5,2006,1234,2576,3,666,361919
7630,5,9,1900,360,1812,2,672,140000
8400,7,5,2004,1473,1484,2,606,213000
5600,4,5,1930,0,1092,0,0,55000
115149,7,5,1971,1643,1824,2,739,302000
6240,8,5,2006,1324,1324,2,550,254000
9018,7,5,2007,728,1456,2,400,179540
7162,5,7,1966,876,904,1,408,109900
4130,3,6,1935,270,729,0,0,52000
8712,4,7,1900,859,1178,1,384,102776
4671,8,5,1988,1228,1228,2,472,189000
9873,4,5,1970,960,960,2,576,129000
13517,6,8,1976,725,1479,2,475,130500
10140,6,5,1974,1064,1350,2,478,165000
10800,7,8,1890,718,2554,2,704,159500
10000,5,6,1973,1176,1178,2,439,157000
10542,7,5,1993,1311,2418,3,983,341000
9920,5,6,1969,971,971,1,300,128500
6563,8,5,1985,1742,1742,2,564,275000
4426,6,5,2004,848,848,2,420,143000
8120,4,7,1970,864,864,2,463,124500
8172,4,6,1954,941,1470,1,548,135000
13286,9,5,2007,1698,1698,3,768,320000
6960,4,6,1970,864,864,2,660,120500
21695,6,9,1988,880,1680,2,540,222000
7314,7,5,2007,1232,1232,2,632,194500
11475,5,5,1958,1584,1776,3,888,110000
6240,4,5,1925,780,1208,2,539,103000
