LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,GrLivArea,GarageCars,GarageArea,SalePrice
12493,4,5,1960,1100,1100,1,312,141000
14364,7,5,1988,1157,2062,2,454,277000
8250,6,7,1964,1092,1092,2,504,145000
5604,5,6,1925,864,864,0,0,98000
10420,6,5,2009,1212,1212,2,460,186000
8640,7,5,2009,900,1852,2,644,252678
13568,5,5,1995,990,990,2,576,156000
10900,6,7,1977,689,1392,1,299,161750
10011,5,6,1957,1070,1236,1,447,134450
8450,7,5,2004,1436,1436,2,484,210000
9906,4,4,1925,686,1328,1,210,107000
15660,7,9,1939,798,1954,2,431,311500
3010,7,5,2005,1248,1248,2,438,167240
8990,7,5,2006,1498,1498,2,675,204900
8068,6,5,2002,1010,2267,2,390,200000
11475,6,6,1975,713,1552,2,434,179900
10500,4,6,1971,864,864,2,576,97000
13472,10,5,2003,2392,2392,3,968,386250
1680,5,5,1971,630,1302,1,280,112000
9950,7,5,1995,1203,2520,3,721,290000
1869,6,6,1970,483,987,1,280,106000
8521,5,5,1967,912,912,1,336,125000
3182,7,5,2005,1373,1555,2,430,192500
8760,6,6,1959,1194,1194,1,312,148000
15138,8,5,1995,1462,2794,3,810,403000
1680,6,5,1972,483,987,1,288,94500
10650,5,6,1976,894,894,1,308,128200
7851,6,5,2002,860,1960,2,440,216500
1680,6,3,1971,483,987,1,264,89500
8773,7,5,2004,1414,1414,2,494,185500
9453,7,7,1993,996,1744,2,457,194500
12030,8,5,2007,1694,1694,3,818,318000
8741,6,4,1945,735,1487,1,220,113000
9000,8,5,2008,1566,1566,2,750,262500
3880,5,9,1945,686,866,0,0,110500
5000,5,4,1900,540,1440,1,352,79000
10762,6,6,1980,626,1217,1,288,120000
8880,7,5,1994,948,2110,2,463,205000
10400,7,5,1988,1845,1872,2,604,241500
9142,6,8,1910,1020,1928,1,440,137000
11310,6,5,1954,1367,1375,2,451,140000
11317,7,5,2003,840,1668,2,500,180000
159000,6,7,1958,1444,2144,2,389,277000
5350,3,2,1940,728,1306,0,0,76500
4750,8,5,2006,1573,1625,2,538,235000
8366,6,5,2004,798,1640,2,520,173000
9350,6,7,1964,1302,1302,1,309,158000
8400,5,6,1957,1314,1314,1,294,145000
8738,7,5,1999,975,2291,2,429,230000
8791,6,5,2003,864,1728,2,673,207500
8814,7,5,2006,1604,1604,2,660,220000
12435,7,5,2001,963,1792,2,564,231500
12702,5,5,1956,0,882,1,308,97000
19296,6,5,1962,1362,1382,2,884,176000
9588,8,5,2007,1482,2574,3,868,276000
8471,6,7,1977,506,1212,2,492,151000
5500,5,7,1929,926,1316,2,484,130000
5232,5,5,1925,680,764,2,504,73000
12090,6,6,1981,1422,1422,2,576,175500
11207,6,5,1997,802,1511,2,413,185000
8400,5,8,1939,720,2192,1,240,179500
6900,5,6,1940,740,778,1,924,120500
7917,6,7,1976,1143,1113,1,504,148000
10728,8,5,2006,1095,1939,3,1053,266000
39104,7,7,1954,1385,1363,2,439,241500
11764,8,7,1999,1152,2270,3,671,290000
9600,6,6,1958,1240,1632,1,338,139000
8314,5,7,1982,816,816,1,264,124500
7264,7,7,1925,952,1548,2,672,205000
9196,7,5,2003,1560,1560,2,573,201000
19138,4,5,1951,864,864,2,400,141000
14450,9,5,2006,2121,2121,3,732,415298
10005,7,5,1977,1160,2022,2,505,192000
11287,7,6,1989,807,1982,2,575,228500
7200,6,5,2006,1262,1262,2,572,185000
5063,7,5,2007,1314,1314,2,626,207500
9612,8,5,2008,1468,1468,3,898,244600
8012,6,5,1992,1575,1575,2,529,179200
4251,7,5,2006,625,1250,2,528,164700
9786,6,7,1962,912,1734,2,440,159000
8125,4,4,1971,858,858,0,0,88000
9819,5,5,1967,882,900,1,280,122000
8730,6,7,1915,698,1396,1,384,153575
15611,8,5,2006,1079,1919,2,685,233230
5687,5,6,1912,780,1716,0,0,135900
11409,5,4,1949,768,1716,1,281,131000
16659,7,7,1977,795,2263,2,539,235000
9600,6,5,1953,1416,1644,2,418,167000
7937,6,6,1984,1003,1003,2,588,142500
13710,5,5,1950,910,1558,1,282,152000
7399,7,5,1997,975,1950,2,576,239000
11700,6,6,1968,702,1743,2,539,175000
14000,6,8,1950,1092,1152,1,300,158500
15750,5,5,1953,1165,1336,1,375,157000
16226,8,5,1998,1028,2452,2,683,267000
13704,7,5,2001,1541,1541,3,843,205000
9800,5,7,1972,894,894,2,552,149900
18386,7,9,1880,1470,3493,3,870,295000
10386,8,5,2004,2000,2000,3,888,305900
13474,7,5,1990,700,2243,3,746,225000
7920,6,7,1920,319,1406,0,0,89500
12342,4,5,1940,861,861,2,539,82500
12378,9,5,2003,1896,1944,3,708,360000
7685,6,5,1993,697,1501,2,420,165600
8000,6,6,1948,972,972,1,240,132000
7800,5,7,1939,793,1118,2,410,119900
215245,7,5,1965,2136,2036,2,513,375000
9600,7,7,1925,728,1641,2,546,178000
7795,7,5,2004,716,1432,2,432,188500
13005,7,7,1980,845,2353,2,484,260000
9000,8,5,2006,1088,1959,3,1025,270000
9900,7,5,1993,1347,2646,3,656,260000
14115,7,5,1980,1372,1472,2,588,187500
16259,9,5,2006,1249,2596,3,840,342643
12099,8,5,2004,1136,2468,3,872,354000
10380,7,5,1986,1502,2730,2,576,301000
5820,3,8,1955,1162,1163,1,220,126175
11275,7,7,1967,710,2978,2,564,242000
5000,5,6,1941,720,803,2,360,87000
10846,8,5,1993,1719,1719,2,473,324000
11600,6,5,1960,1383,1383,1,292,145250
11888,6,6,1916,844,2134,2,441,214500
6402,5,5,1920,596,1192,1,189,78000
10624,5,4,1964,1728,1728,1,352,119000
8176,5,6,1958,1056,1056,1,308,139000
10655,8,5,2003,3206,1629,3,880,284000
8198,7,5,2004,1358,1358,2,484,207000
9042,6,5,1998,943,1638,2,472,192000
164660,5,6,1965,1499,1786,2,529,228950
14157,9,5,2005,1922,1922,3,676,377426
9135,7,5,2002,1536,1536,2,532,214000
14145,7,7,1984,1208,1621,2,440,202500
12400,6,7,1958,1215,1215,1,297,155000
14191,8,5,2002,967,1908,2,431,202900
8400,4,4,1950,721,841,1,294,82000
8544,3,4,1949,0,1040,2,400,87500
8849,9,5,2005,1684,1684,2,564,266000
2592,5,3,1976,536,1112,1,336,85000
6435,6,5,1939,972,1577,1,312,140200
12772,6,8,1960,958,958,1,301,151500
17600,6,5,1960,1478,1478,2,498,157500
2448,7,5,2003,764,1626,2,474,154000
20431,9,5,2005,1848,2728,3,706,437154
7820,9,5,2007,1869,1869,2,617,318061
5271,7,5,1986,1453,1453,2,445,190000
9084,5,6,1941,616,1111,1,200,95000
8520,6,8,1928,624,720,2,484,105900
8400,6,5,1940,940,1595,1,240,140000
11249,6,5,1995,1200,1200,2,521,177500
9248,6,6,1992,1158,1167,2,400,173000
4224,5,5,1976,1142,1142,2,528,134000
6930,5,4,1958,1062,1352,1,288,130000
12011,8,5,1998,1086,1924,2,592,280000
7540,6,6,1978,888,912,2,470,156000
9144,5,5,1940,883,1505,1,240,145000
7301,7,5,2003,0,1922,2,672,198500
1680,6,8,1972,483,987,1,264,118000
18800,6,5,1976,796,1574,2,566,190000
